"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
AU,AUSTRALIA,137000,7009121,539000,27670529
BD,BANGLADESH,674000,30911384,2901000,135204242
KH,CAMBODIA,1760,165618,3300,279195
CN,CHINA,2434500,114229136,24375925,1167718487
DJ,DJIBOUTI,0,0,68000,3356598
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,0,0,2000,105665
IN,INDIA,3359000,156585773,14250000,672538274
ID,INDONESIA,115300,5570189,833750,40859927
JP,JAPAN,0,0,25950,1411191
KR,"KOREA,REPUBLIC OF",500,35256,7600,409039
MY,MALAYSIA,33500,1645647,107000,5392105
PK,PAKISTAN,102000,4734190,986000,48157591
PH,PHILIPPINES,0,0,24300,1252481
SG,SINGAPORE,50,13718,7100,411766
LK,SRI LANKA,170000,8004346,357000,17184054
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,55581
TR,TÜRKIYE,0,0,68000,3547855
US,UNITED STATES,19000,948551,50000,2626960
VN,VIETNAM,187285,8283325,607085,28148029
SUM,SUM,7233895,338136254,45248010,2158031976
