"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
CN,CHINA,0,0,3475,181360
GH,GHANA,32500,761838,97500,2313910
HK,HONG KONG,0,0,26325,4315502
IN,INDIA,500,62217,500,62217
ID,INDONESIA,38000,1835574,99025,5588077
JP,JAPAN,100,1474,15300,1029188
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,40,10000,46,12400
MY,MALAYSIA,0,0,1000,64304
PK,PAKISTAN,0,0,220,62104
LK,SRI LANKA,16000,388950,32000,810676
VN,VIETNAM,81000,3843581,359000,17301831
SUM,SUM,168140,6903634,636161,31996882
