"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
AU,AUSTRALIA,143400,12955554,882400,68292556
BD,BANGLADESH,178700,10999826,1169119,72702108
BE,BELGIUM,2653200,165479924,2672460,166671613
CA,CANADA,1875,10806,1875,10806
CN,CHINA,9486309,559996122,47048695,2816596972
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,11250,601534,22000,1181029
FR,FRANCE,0,0,40,8596
GA,GABON,0,0,17000,526858
DE,GERMANY,0,0,150,6618
GH,GHANA,0,0,17000,690754
HK,HONG KONG,123700,8366895,944700,60419808
IN,INDIA,1620580,77951870,6057130,308065876
ID,INDONESIA,414625,25970364,1785913,114388981
JP,JAPAN,1861990,113405981,12630511,766583654
KE,KENYA,0,0,1650,42661
KR,"KOREA,REPUBLIC OF",2512100,167942957,9919225,655829318
LA,LAO PDR,0,0,184377,5299625
MY,MALAYSIA,84475,5707592,714375,45957702
MV,MALDIVES,0,0,16500,595691
MM,MYANMAR,0,0,200,10808
NL,NETHERLANDS,0,0,792000,65986466
NZ,NEW ZEALAND,10000,780147,91800,7176857
PK,PAKISTAN,0,0,21175,1259811
PE,PERU,0,0,17000,657861
PH,PHILIPPINES,653675,34161287,3057200,162595400
SG,SINGAPORE,337975,22357760,650772,42511457
ES,SPAIN,2750,185622,2790,201495
LK,SRI LANKA,19800,1301650,60392,3891265
CH,SWITZERLAND,750,3201,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",322839,19482321,2122163,129871606
TZ,TANZANIA UNITED REPUBLIC OF,51000,1673730,85000,2800810
AE,UNITED ARAB EMIRATES,0,0,38,128
US,UNITED STATES,10850,705353,1318150,82657986
VN,VIETNAM,434185,29751351,1730954,119386867
SUM,SUM,20936028,1259791847,94205504,5707914506
