"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
CN,CHINA,0,0,73000,2745278
HK,HONG KONG,1400,84349,4725,271123
ID,INDONESIA,14950,1890012,58375,7468488
JP,JAPAN,200,24491,200,24491
LA,LAO PDR,29000,1354625,101500,4576000
PK,PAKISTAN,0,0,4000,220338
PH,PHILIPPINES,15000,763838,75000,3925414
VN,VIETNAM,11000,383486,118000,5404510
SUM,SUM,71550,4500801,434800,24635642
