"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'FOB (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'FOB (Baht)')"
CN,CHINA,0,0,102000,4816023
DE,GERMANY,5000,801754,5000,801754
HK,HONG KONG,0,0,17400,1175224
ID,INDONESIA,16000,1216888,65000,3494784
JP,JAPAN,2650,106863,6850,353332
KE,KENYA,32500,971307,32500,971307
KR,"KOREA,REPUBLIC OF",0,0,50,4196
MY,MALAYSIA,30000,2122800,30000,2122800
RU,RUSSIAN FEDERATION,0,0,1500,72573
SUM,SUM,86150,5219612,260300,13811993
