"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
AR,ARGENTINA,118500,8753670,118500,8753670
AU,AUSTRALIA,31600,1570336,139175,9044817
AT,AUSTRIA,0,0,1000,45818
BD,BANGLADESH,26500,692978,26500,692978
CM,CAMEROON,37250,230554,37250,230554
CN,CHINA,17023736,520410972,31708386,819079104
FJ,FIJI,0,0,10550,330785
DE,GERMANY,0,0,275,18939
HK,HONG KONG,0,0,129500,919703
IN,INDIA,222850,6706193,777250,21747306
ID,INDONESIA,57800,3428183,221425,11623313
IE,IRELAND,1,90,1,90
IL,ISRAEL,600,40725,600,40725
IT,ITALY,25,778,25,778
JP,JAPAN,51789,2283809,327340,14948273
KR,"KOREA,REPUBLIC OF",500,15473,22275,1423779
LA,LAO PDR,8000,344000,18130,788983
MY,MALAYSIA,27815,3950527,89640,8731277
MU,MAURITIUS,26000,563234,27000,717188
YT,MAYOTTE,1,150,1,150
MM,MYANMAR,0,0,26500,1281464
NZ,NEW ZEALAND,7010,543026,35730,2530876
PH,PHILIPPINES,0,0,98625,3447145
SG,SINGAPORE,22175,2252908,25201,2525903
SI,SLOVENIA,252960,6424484,1035570,25200743
ZA,SOUTH AFRICA,1400,106094,1400,106094
LK,SRI LANKA,0,0,11,1287
TW,"TAIWAN, PROVINCE OF CHINA",150500,7032566,345500,13985941
UA,UKRAINE,1000,154787,1000,154787
GB,UNITED KINGDOM,0,0,27100,358424
US,UNITED STATES,4,512,18788,190836
VN,VIETNAM,44075,2781944,135505,12054835
SUM,SUM,18112091,568287993,35405753,960976565
