"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'FOB (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'FOB (Baht)')"
AU,AUSTRALIA,623020,21020733,1705150,53697740
BD,BANGLADESH,299250,9838119,941000,29894435
BR,BRAZIL,76500,2247618,76518,2263710
KH,CAMBODIA,154750,4963848,603450,18208687
CA,CANADA,199500,6118304,423000,12796244
CL,CHILE,50000,1328523,50000,1328523
CN,CHINA,5501275,163951794,14080515,425511770
CG,CONGO,330000,9891016,330000,9891016
CI,COTE D IVOIRE,0,0,51750,1605522
DJ,DJIBOUTI,537000,16285692,1242900,36387565
EC,ECUADOR,0,0,36000,1009298
FJ,FIJI,162000,5080142,212000,6591768
PF,FRENCH POLYNESIA,36000,1166508,45000,1430534
DE,GERMANY,0,0,58600,4294085
GH,GHANA,0,0,24750,734182
HK,HONG KONG,144000,3799511,144002,3800077
IN,INDIA,1323750,40750743,6202757,182924866
ID,INDONESIA,3316450,105120453,12590130,395087324
IL,ISRAEL,0,0,4000,250832
JP,JAPAN,1581706,59191279,5077206,170257650
KZ,KAZAKHSTAN,34000,969498,34000,969498
KE,KENYA,102000,3367287,136500,4403333
KR,"KOREA,REPUBLIC OF",606000,19894698,2218500,70772861
LA,LAO PDR,278750,8528418,1388178,44274764
MY,MALAYSIA,398120,13422552,1811408,61749416
MU,MAURITIUS,10000,312762,32000,971562
MX,MEXICO,28000,893606,42000,1326480
MZ,MOZAMBIQUE,66750,1978219,142500,4148018
MM,MYANMAR,1069000,32930254,2894870,85853215
nan,NAMIBIA,75,2217,75,2217
NL,NETHERLANDS,19200,839886,96000,4148895
NC,NEW CALEDONIA,54000,1708935,126000,3857655
NZ,NEW ZEALAND,206250,6738670,486000,15060325
NG,NIGERIA,0,0,36000,1024961
PG,PAPUA NEW GUINEA,36000,1084852,54000,1641896
PE,PERU,0,0,25500,779343
PH,PHILIPPINES,195000,6684804,1303500,41390483
PT,PORTUGAL,0,0,500000,12840373
RE,REUNION,17000,530275,85500,2629638
RU,RUSSIAN FEDERATION,0,0,25500,740440
SA,SAUDI ARABIA,0,0,3000,567086
SG,SINGAPORE,18000,579495,95600,2996152
SB,SOLOMON ISLANDS,0,0,3000,90703
LK,SRI LANKA,39250,1330386,186250,5988421
TW,"TAIWAN, PROVINCE OF CHINA",1578500,48210288,4266000,129853709
UA,UKRAINE,0,0,17250,557385
VN,VIETNAM,4860714,152506879,11832310,358570374
SUM,SUM,23951810,753268264,71740169,2215175031
