"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'FOB (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'FOB (Baht)')"
AU,AUSTRALIA,50,29095,50,29095
CN,CHINA,235400,5829271,440821,10256494
DE,GERMANY,0,0,7,551
IN,INDIA,128000,5097873,373000,15588532
ID,INDONESIA,143,176333,379,511836
JP,JAPAN,100,34646,159,39368
KR,"KOREA,REPUBLIC OF",0,0,166,195
LA,LAO PDR,12243,1046501,42198,3807927
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,0,0,256,106000
SG,SINGAPORE,2000,123502,2000,123502
ZA,SOUTH AFRICA,0,0,52,14953
LK,SRI LANKA,9000,445445,9000,445445
TZ,TANZANIA UNITED REPUBLIC OF,10000,510406,10000,510406
SUM,SUM,396936,13293072,878088,31434631
