"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
AU,AUSTRALIA,21600,3492684,64806,10898681
CA,CANADA,23,2778,23,2778
CN,CHINA,2254050,25605386,2970063,36258375
DK,DENMARK,0,0,25,1454
FR,FRANCE,99,42658,101,43076
DE,GERMANY,113,87059,219,91309
HK,HONG KONG,0,0,47,60333
IN,INDIA,1,33,1,33
ID,INDONESIA,3000,230091,3000,230091
IT,ITALY,1084,407198,1084,407198
JP,JAPAN,153024,6350256,230076,9484155
KR,"KOREA,REPUBLIC OF",12000,1067783,26000,2431171
NL,NETHERLANDS,1,33,1,33
ES,SPAIN,6,12341,6,12341
LK,SRI LANKA,0,0,46,539370
CH,SWITZERLAND,0,0,0,692
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,138
TR,TÜRKIYE,7900,1160620,7900,1160620
GB,UNITED KINGDOM,0,0,222,74040
US,UNITED STATES,170,45036,239,105046
VN,VIETNAM,1001,4036714,1001,4036714
SUM,SUM,2454072,42540670,3304860,65837648
