"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'FOB (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,872,297000
CN,CHINA,16,1450,64,5800
DE,GERMANY,2000,60934,2000,60934
HK,HONG KONG,33,5057,133,20228
IN,INDIA,197300,7864005,309300,12779984
JP,JAPAN,0,0,266,22437
KE,KENYA,30000,1989838,60000,4007024
LA,LAO PDR,23957,997723,31460,1859513
MY,MALAYSIA,0,0,104,146976
SG,SINGAPORE,0,0,4500,305265
TW,"TAIWAN, PROVINCE OF CHINA",32800,2438293,49200,3689228
AE,UNITED ARAB EMIRATES,0,0,33,5057
GB,UNITED KINGDOM,0,0,232,35399
SUM,SUM,286106,13357300,458164,23234845
