"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'FOB (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'FOB (Baht)')"
AU,AUSTRALIA,90,15144,41090,1747510
CN,CHINA,1300,54963,708770,22794032
IN,INDIA,6000,208672,151525,15157108
ID,INDONESIA,84000,4557588,564500,27645256
JP,JAPAN,100,16612,30200,1340522
KR,"KOREA,REPUBLIC OF",0,0,16000,1686775
MX,MEXICO,0,0,102000,4583703
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
VN,VIETNAM,2200,114395,48527,2613395
SUM,SUM,93690,4967374,1697737,78603048
