"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'FOB (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'FOB (Baht)')"
CN,CHINA,283500,11656372,667135,31880018
IN,INDIA,64000,1739804,77030,3271268
ID,INDONESIA,0,0,36300,3315482
JP,JAPAN,0,0,9125,423934
MY,MALAYSIA,3625,368741,16675,1568765
MM,MYANMAR,0,0,300,37224
NZ,NEW ZEALAND,12000,842551,20625,1469970
SG,SINGAPORE,6000,416548,6000,416548
LK,SRI LANKA,0,0,11,32
VN,VIETNAM,2000,197288,3500,306374
SUM,SUM,371125,15221304,836701,42689615
