"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'FOB (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'FOB (Baht)')"
AU,AUSTRALIA,125050,8672659,610220,46146816
AT,AUSTRIA,0,0,460,196207
BD,BANGLADESH,237600,14673317,594000,36507131
BE,BELGIUM,495000,30564475,534600,34406915
KH,CAMBODIA,28000,1132264,34000,1490704
CN,CHINA,13233465,807275998,32242240,1995736573
CO,COLOMBIA,0,0,200,21612
ET,ETHIOPIA,0,0,85000,2671610
DE,GERMANY,0,0,39650,2508093
HK,HONG KONG,174303,7049739,317787,17759451
IN,INDIA,1507550,77845432,3322968,192190964
ID,INDONESIA,283250,19338638,907688,59799912
IE,IRELAND,0,0,875,179801
IT,ITALY,0,0,3500,157713
JP,JAPAN,2482067,139815355,8191747,480104919
KE,KENYA,0,0,25000,836730
KR,"KOREA,REPUBLIC OF",1801820,124588725,5194046,362760585
LA,LAO PDR,0,0,96000,2446900
MY,MALAYSIA,223950,14852056,525675,36810892
MM,MYANMAR,1250,25000,1250,25000
NZ,NEW ZEALAND,41300,3005084,82200,6555438
PK,PAKISTAN,500,53697,40100,2384113
PH,PHILIPPINES,814350,33765765,1743650,71606010
SG,SINGAPORE,437775,30096352,862165,59979654
LK,SRI LANKA,17600,364297,53425,2052344
TW,"TAIWAN, PROVINCE OF CHINA",462850,30239661,1202010,73589551
TZ,TANZANIA UNITED REPUBLIC OF,0,0,102000,3400785
GB,UNITED KINGDOM,0,0,0,1054
US,UNITED STATES,20000,2184557,80025,8022053
VN,VIETNAM,358450,25537890,1064810,75472400
SUM,SUM,22746130,1371080961,57957291,3575821930
