"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
AU,AUSTRALIA,828000,24623344,2045275,63114824
BD,BANGLADESH,547500,15766982,999000,27932884
BR,BRAZIL,0,0,750,30642
KH,CAMBODIA,764775,24733054,2205875,69311990
CA,CANADA,164000,5453582,438275,14539022
CN,CHINA,9959405,288614332,36336055,1029393513
CI,COTE D IVOIRE,0,0,42000,1246489
DJ,DJIBOUTI,653300,17482444,1108300,29551240
FJ,FIJI,20200,762841,75075,2660554
FR,FRANCE,21975,939634,131975,4586104
PF,FRENCH POLYNESIA,0,0,66500,2004203
GA,GABON,13500,472900,27000,953834
DE,GERMANY,160750,5987433,826625,31841061
GR,GREECE,0,0,48000,1959687
IN,INDIA,299300,11289823,1314900,43274398
ID,INDONESIA,6639500,179495089,15124475,396213035
IL,ISRAEL,388000,11968733,1367225,44707773
JP,JAPAN,2640700,75822780,6017374,171960529
KE,KENYA,198000,5373712,447000,12312209
KR,"KOREA,REPUBLIC OF",41000,2810333,81000,6933128
LA,LAO PDR,125500,3481058,308500,8764924
LV,LATVIA,0,0,25500,804151
LT,LITHUANIA,25500,872544,38975,1328728
MG,MADAGASCAR,0,0,77000,2681529
MY,MALAYSIA,1926750,54639106,6587725,180331193
MU,MAURITIUS,56575,2570255,288500,11570074
MX,MEXICO,4000,527149,11300,1421570
MZ,MOZAMBIQUE,17500,499607,35500,969106
MM,MYANMAR,925075,28404480,1967675,58220181
NL,NETHERLANDS,90175,3471798,290175,11567158
NC,NEW CALEDONIA,40500,1353618,67500,2232736
NZ,NEW ZEALAND,757750,26167533,1782425,58003737
NG,NIGERIA,765000,16335322,884000,18810782
PK,PAKISTAN,38600,1222536,43100,1395984
PG,PAPUA NEW GUINEA,4750,133768,4750,133768
PH,PHILIPPINES,998525,28654479,2657625,72393462
PL,POLAND,123750,3669460,308000,9436808
QA,QATAR,0,0,210000,5866657
RE,REUNION,27000,999641,67500,2465374
RO,ROMANIA,0,0,45000,1576151
RU,RUSSIAN FEDERATION,69000,2134721,607900,17269261
SN,SENEGAL,27000,1011035,180225,7241600
SG,SINGAPORE,107250,4097494,181750,7044575
SB,SOLOMON ISLANDS,13925,581763,13925,581763
SO,SOMALIA,105600,3267993,119800,3848401
ZA,SOUTH AFRICA,193000,5892289,428600,12412996
LK,SRI LANKA,67500,2013126,99000,2950891
SE,SWEDEN,47800,1914375,47800,1914375
TW,"TAIWAN, PROVINCE OF CHINA",41000,1672308,250500,8220721
TR,TÜRKIYE,0,0,67550,2979936
UA,UKRAINE,163500,5159773,557000,17691209
AE,UNITED ARAB EMIRATES,158100,4700031,825900,23900846
GB,UNITED KINGDOM,222750,6453542,693000,19543681
VN,VIETNAM,5748525,167268476,13770700,380110781
YE,YEMEN,123750,3504156,123750,3504156
SUM,SUM,36355555,1054270452,102370829,2913716384
