"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
AU,AUSTRALIA,48002,2751168,360002,20793369
BD,BANGLADESH,0,0,17100,926650
BN,BRUNEI DARUSSALAM,7000,286325,38000,1603216
KH,CAMBODIA,0,0,13500,815634
CN,CHINA,0,0,1702,202535
IN,INDIA,64000,1504162,64650,1595486
ID,INDONESIA,395000,20871416,3575000,200030176
IQ,IRAQ,0,0,57600,959431
JP,JAPAN,25,890,1550,65420
MY,MALAYSIA,1000,128312,112026,9135776
NL,NETHERLANDS,0,0,4865,500348
PK,PAKISTAN,6275,571963,15775,1399530
TW,"TAIWAN, PROVINCE OF CHINA",0,0,300,55925
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,0,0,143150,4173317
SUM,SUM,521302,26114236,4406522,242448142
