"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
AU,AUSTRALIA,24400,1182003,221650,11603089
BD,BANGLADESH,51000,2365813,3485000,166832686
BN,BRUNEI DARUSSALAM,0,0,300,1346
KH,CAMBODIA,0,0,4400,353002
CL,CHILE,0,0,24000,1124461
CN,CHINA,4426000,207225693,39715250,1929221388
IN,INDIA,2376000,110433592,15878000,755615456
ID,INDONESIA,368000,17763515,1296000,65006456
JP,JAPAN,12000,665729,24000,1353489
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,4,3812,93,191577
MY,MALAYSIA,0,0,44250,2218561
PK,PAKISTAN,17000,802736,305000,14806958
PH,PHILIPPINES,34000,1639528,189750,9503405
SA,SAUDI ARABIA,0,0,24000,1265538
SC,SEYCHELLES,0,0,300,600
LK,SRI LANKA,102000,4829971,289000,14038035
TW,"TAIWAN, PROVINCE OF CHINA",0,0,48000,2293990
TR,TÜRKIYE,0,0,51000,2476987
US,UNITED STATES,57023,2774480,323023,16671442
VN,VIETNAM,126000,6093846,793000,39397878
SUM,SUM,7593427,355780718,62767016,3036478764
