"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'FOB (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'FOB (Baht)')"
AU,AUSTRALIA,714280,28087415,2105590,89778203
BD,BANGLADESH,321750,11585196,1238250,45518827
BE,BELGIUM,45000,2463746,486000,26916720
BT,BHUTAN,49500,1723034,173250,6140909
CN,CHINA,29642116,1344188737,80584901,3637142820
HK,HONG KONG,52300,3389627,115450,7795711
IN,INDIA,1637060,76104870,4718810,207738163
ID,INDONESIA,6269760,246612725,15786550,619610961
JP,JAPAN,8527675,361469397,25452850,1082374764
KR,"KOREA,REPUBLIC OF",439675,25025947,1773675,97108172
MY,MALAYSIA,1044050,43519849,3340220,136775581
MU,MAURITIUS,32500,1213653,32500,1213653
NP,NEPAL,0,0,19800,1158825
NZ,NEW ZEALAND,364700,14968001,1054685,44972644
PK,PAKISTAN,121500,5218246,418500,16969413
PG,PAPUA NEW GUINEA,16000,569181,16000,569181
PH,PHILIPPINES,1164250,41566391,4485450,158614015
PT,PORTUGAL,50000,1778688,50000,1778688
RU,RUSSIAN FEDERATION,64000,2232918,157000,5814439
SG,SINGAPORE,192050,11750364,454875,27964829
ZA,SOUTH AFRICA,0,0,45500,1806442
LK,SRI LANKA,124750,4815187,186500,7353552
TW,"TAIWAN, PROVINCE OF CHINA",733150,30370336,2398050,99692618
US,UNITED STATES,79000,7232102,97750,9099378
VN,VIETNAM,641775,35303484,1619675,89862493
SUM,SUM,52326841,2301189094,146811831,6423771001
