"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'FOB (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'FOB (Baht)')"
CN,CHINA,12300,1232133,93000,6300178
IN,INDIA,15000,1971180,138000,16277579
ID,INDONESIA,0,0,268950,12931371
JP,JAPAN,0,0,3000,147096
KR,"KOREA,REPUBLIC OF",2000,213276,2000,213276
MY,MALAYSIA,1500,189584,1500,189584
MX,MEXICO,0,0,49500,2159696
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49759,967407
VN,VIETNAM,32000,970586,80900,2810107
SUM,SUM,62800,4576759,686609,41996294
