"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
HK,HONG KONG,0,32,0,32
ID,INDONESIA,0,0,34,25287
SUM,SUM,0,32,34,25319
