"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'FOB (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'FOB (Baht)')"
BE,BELGIUM,215400,22459069,562200,58343603
KH,CAMBODIA,58547,9119368,85837,13329487
CN,CHINA,479898,18444304,855522,32063559
GH,GHANA,16250,397111,81250,2050462
HK,HONG KONG,0,0,10,78822
IN,INDIA,686555,50639744,1781052,134417969
ID,INDONESIA,141000,9932456,662725,48955100
JP,JAPAN,320,34246,1768,177279
KR,"KOREA,REPUBLIC OF",3300,267536,38500,3100308
LA,LAO PDR,30102,1218916,30267,1247308
MY,MALAYSIA,34625,3949814,128075,14189305
MU,MAURITIUS,66000,1592466,66000,1592466
MM,MYANMAR,681,50347,681,50347
PK,PAKISTAN,29175,933614,37875,1659916
PH,PHILIPPINES,12029,1129543,84058,7004740
SG,SINGAPORE,360,102027,900,267020
ZA,SOUTH AFRICA,35900,155472,53850,234581
LK,SRI LANKA,0,0,88,18750
TW,"TAIWAN, PROVINCE OF CHINA",44050,4815568,131775,13124358
AE,UNITED ARAB EMIRATES,4,15,4,15
US,UNITED STATES,18000,1122491,34000,2081529
VN,VIETNAM,77540,3450531,174285,9683890
SUM,SUM,1949736,129814638,4810722,343670814
