"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'FOB (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'FOB (Baht)')"
AU,AUSTRALIA,5425,427829,15425,1323459
CN,CHINA,35625,4475293,408670,43314053
IN,INDIA,166253,12386974,3229088,252732216
ID,INDONESIA,53500,3732161,447025,32381592
JP,JAPAN,625,33039,7500,500745
KR,"KOREA,REPUBLIC OF",0,0,3650,507152
MY,MALAYSIA,6825,596285,217775,20636107
MM,MYANMAR,18,46800,18,46800
PH,PHILIPPINES,12340,1179164,127865,9348754
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12000,852103
SUM,SUM,280611,22877545,4469016,361642981
