"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
KH,CAMBODIA,0,0,500,26500
CN,CHINA,0,341,1000,156688
JP,JAPAN,19800,1940852,19800,1940852
KR,"KOREA,REPUBLIC OF",50,4625,140,13107
LA,LAO PDR,1000,47059,2500,115874
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,1588286
VN,VIETNAM,0,0,1100,103206
SUM,SUM,20850,1992877,45040,3944513
