"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
AU,AUSTRALIA,197000,14544955,197000,14544955
BD,BANGLADESH,257400,15974395,257400,15974395
CN,CHINA,7038092,429722924,7038092,429722924
DE,GERMANY,100,6455,100,6455
HK,HONG KONG,138600,8924101,138600,8924101
IN,INDIA,938700,48644642,938700,48644642
ID,INDONESIA,340550,22395927,340550,22395927
JP,JAPAN,2984845,179295092,2984845,179295092
KR,"KOREA,REPUBLIC OF",1442600,92129846,1442600,92129846
LA,LAO PDR,102877,2658175,102877,2658175
MY,MALAYSIA,144050,9235370,144050,9235370
MM,MYANMAR,200,10808,200,10808
NZ,NEW ZEALAND,40500,3196708,40500,3196708
PK,PAKISTAN,19800,1162832,19800,1162832
PH,PHILIPPINES,761000,40443155,761000,40443155
SG,SINGAPORE,158422,10185833,158422,10185833
TW,"TAIWAN, PROVINCE OF CHINA",411400,24302673,411400,24302673
AE,UNITED ARAB EMIRATES,38,128,38,128
VN,VIETNAM,291760,19696039,291760,19696039
SUM,SUM,15267934,922530058,15267934,922530058
