"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AT,AUSTRIA,0,0,50,3875
KH,CAMBODIA,0,0,24,150
CN,CHINA,0,0,63,25750
DK,DENMARK,1,124,1,124
FR,FRANCE,10,779,10,779
DE,GERMANY,0,0,37,2865
IN,INDIA,11,857,15,1125
ES,SPAIN,0,0,5,383
US,UNITED STATES,0,0,75,5844
SUM,SUM,22,1760,280,40895
