"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'FOB (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'FOB (Baht)')"
BE,BELGIUM,0,0,91,11978
CN,CHINA,0,0,5066,514715
DK,DENMARK,0,0,33,5057
HK,HONG KONG,0,0,193,159737
IN,INDIA,96000,4564405,866750,40589037
ID,INDONESIA,43,54874,25538,1909599
IT,ITALY,0,0,99,15171
JP,JAPAN,75,10114,2744,596216
KR,"KOREA,REPUBLIC OF",0,0,186,25285
LA,LAO PDR,0,0,51070,7230946
MY,MALAYSIA,1,129,62,83467
MM,MYANMAR,0,0,1325,100000
NZ,NEW ZEALAND,75,10114,75,10114
NG,NIGERIA,0,0,15000,974403
SG,SINGAPORE,0,0,18068,1247067
LK,SRI LANKA,0,0,31100,1706905
CH,SWITZERLAND,0,0,112,15171
TW,"TAIWAN, PROVINCE OF CHINA",0,0,149,30342
AE,UNITED ARAB EMIRATES,37,5057,70,10114
VN,VIETNAM,0,0,29,170491
SUM,SUM,96231,4644693,1017760,55405815
