"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
IN,INDIA,0,0,1400,87026
JP,JAPAN,170,128427,550,301461
MM,MYANMAR,1000,18000,3100,102000
SUM,SUM,1170,146427,5050,490487
