"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'FOB (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'FOB (Baht)')"
AR,ARGENTINA,53000,4193512,502150,39402467
AU,AUSTRALIA,0,0,90504,9051171
BD,BANGLADESH,0,0,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,131600,7688262,1391275,87231203
EG,EGYPT,108000,7227930,257000,17056280
GH,GHANA,95000,2558499,273000,7579203
HK,HONG KONG,0,0,9703,705837
IN,INDIA,140648,14804267,1083123,101118194
ID,INDONESIA,187625,17068329,879305,76186466
JP,JAPAN,52457,1456724,349983,10388417
KE,KENYA,13500,494357,90250,2853026
KR,"KOREA,REPUBLIC OF",0,0,24851,1697583
LA,LAO PDR,0,0,39,19078
MG,MADAGASCAR,176000,2338898,176000,2338898
MY,MALAYSIA,61120,7551445,554773,42485752
MV,MALDIVES,0,0,6,5000
MM,MYANMAR,2520,221500,4520,394700
PK,PAKISTAN,0,0,32000,1177160
PH,PHILIPPINES,1008,266235,55826,6266937
PT,PORTUGAL,0,0,175,52757
SN,SENEGAL,16000,574093,48000,1681679
SG,SINGAPORE,24750,1365886,99000,4833264
ZA,SOUTH AFRICA,16650,719300,17150,802375
LK,SRI LANKA,48975,1613613,90575,2799861
TW,"TAIWAN, PROVINCE OF CHINA",19950,1694199,145366,13346470
AE,UNITED ARAB EMIRATES,76000,1894840,272000,7051749
US,UNITED STATES,0,0,18000,1498767
VN,VIETNAM,87133,5457557,276038,18778393
SUM,SUM,1311936,79189446,6761316,458886072
