"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
AR,ARGENTINA,28500,1736001,28500,1736001
AU,AUSTRALIA,2180,166746,122180,2531551
BD,BANGLADESH,74375,6524633,163000,14054499
BE,BELGIUM,75600,7358559,600000,55594602
KH,CAMBODIA,54630,8628276,139019,21140192
CN,CHINA,137400,10564790,697803,48245649
EG,EGYPT,48000,2871347,120000,6752460
GN,GUINEA,0,0,54000,1170195
IN,INDIA,697815,48433069,2496720,169104723
ID,INDONESIA,273115,20679793,780690,54579930
JP,JAPAN,63000,5756092,170556,12908324
KR,"KOREA,REPUBLIC OF",0,0,600,4284
LA,LAO PDR,15,5439,104,25515
MY,MALAYSIA,35125,3376577,180298,17445083
MX,MEXICO,16000,874149,16000,874149
MM,MYANMAR,420,62800,1751,187441
PK,PAKISTAN,0,0,20625,1773230
PH,PHILIPPINES,31500,2415811,108070,7357261
SA,SAUDI ARABIA,0,0,135550,9099780
SG,SINGAPORE,0,0,20,2000
ZA,SOUTH AFRICA,3600,288629,7100,587096
LK,SRI LANKA,16000,377485,16000,377485
TW,"TAIWAN, PROVINCE OF CHINA",16000,1315528,145000,12955495
AE,UNITED ARAB EMIRATES,0,0,133000,7546509
US,UNITED STATES,0,0,500,34724
VN,VIETNAM,20500,1268810,119419,7815308
SUM,SUM,1593775,122704534,6256505,453903486
