"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'FOB (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'FOB (Baht)')"
AU,AUSTRALIA,837140,37520424,7453290,344481079
BD,BANGLADESH,297000,11833719,1726450,71841488
BE,BELGIUM,258750,15072775,965450,57443877
BT,BHUTAN,0,0,330000,15402598
CN,CHINA,25771075,1296530248,193925860,9038497934
FR,FRANCE,0,0,1275,96376
DE,GERMANY,0,0,199435,11613320
HK,HONG KONG,101250,6623181,541500,32966299
IN,INDIA,3548800,154319804,30559450,1365081283
ID,INDONESIA,4014930,184266314,43461115,1928138923
JP,JAPAN,5420050,276762657,53094225,2545456379
KR,"KOREA,REPUBLIC OF",1238250,72882653,9235570,549796937
MY,MALAYSIA,1590905,72142844,11319010,508042865
MM,MYANMAR,66000,2319104,602800,20957053
NP,NEPAL,0,0,262470,11210619
NZ,NEW ZEALAND,618890,28366878,3966040,186272004
PK,PAKISTAN,50750,2175310,728200,33314732
PH,PHILIPPINES,630850,26375436,8113850,326230270
SG,SINGAPORE,371350,23747656,2160575,130448479
LK,SRI LANKA,156750,6930048,734750,33461896
TW,"TAIWAN, PROVINCE OF CHINA",1087350,53004800,6967140,335901903
GB,UNITED KINGDOM,0,0,45,12491
US,UNITED STATES,37500,2138672,329600,18943975
VN,VIETNAM,966100,63871201,8100375,515741393
SUM,SUM,47063690,2336883724,384778475,18081354173
