"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'CIF (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'CIF (Baht)')"
BE,BELGIUM,93625,7397671,303500,19971422
CA,CANADA,13970,693073,64970,3603984
CN,CHINA,86902,5662155,249054,15871938
DE,GERMANY,0,0,10000,831907
IN,INDIA,0,0,2000,137845
IT,ITALY,14250,2370464,14250,2370464
JP,JAPAN,123376,8037764,487736,31431295
KR,"KOREA,REPUBLIC OF",601282,33124619,1036805,57812371
LA,LAO PDR,0,0,4,11613
MY,MALAYSIA,250960,10189450,525150,20788750
SA,SAUDI ARABIA,297000,14956171,445500,22263968
SG,SINGAPORE,800,131734,70600,4008853
TW,"TAIWAN, PROVINCE OF CHINA",69647,4707988,249322,15972874
GB,UNITED KINGDOM,0,0,243,183399
US,UNITED STATES,216120,10608053,474520,24773925
VN,VIETNAM,29140,272290,42880,735743
SUM,SUM,1797072,98151432,3976534,220770351
