"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,770190,29208552
AT,AUSTRIA,0,0,150,11886
BE,BELGIUM,590,187278,96205,8449717
CN,CHINA,176441,10679449,1371150,67886449
CZ,CZECH REPUBLIC,0,0,24,12687
EG,EGYPT,0,0,25,10871
FI,FINLAND,23375,1527429,46750,3008422
FR,FRANCE,0,0,500,138729
DE,GERMANY,0,0,15950,1063683
IN,INDIA,1525,172247,7085,831452
ID,INDONESIA,2500,219776,2500,219776
IL,ISRAEL,24000,1582396,24000,1582396
IT,ITALY,0,0,0,2300
JP,JAPAN,518416,26302852,3952071,198385775
KR,"KOREA,REPUBLIC OF",513250,23571945,6240983,275074910
KW,KUWAIT,0,0,24750,1008305
MY,MALAYSIA,78909,10969986,672046,96596907
NL,NETHERLANDS,0,0,38000,3079710
SA,SAUDI ARABIA,575410,22471866,5913450,225676828
SG,SINGAPORE,17600,2917808,933831,59595036
ZA,SOUTH AFRICA,0,0,123750,4550144
TW,"TAIWAN, PROVINCE OF CHINA",49000,2410890,376885,17923314
TH,THAILAND,1423,199556,9643,509819
AE,UNITED ARAB EMIRATES,0,0,100,45936
US,UNITED STATES,19141,1699569,70738,6279338
VN,VIETNAM,0,0,300000,4703684
SUM,SUM,2001580,104913047,20990776,1005856626
