"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'CIF (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'CIF (Baht)')"
AT,AUSTRIA,975,378762,2265,910100
BE,BELGIUM,6180,666012,117680,9543974
CA,CANADA,750,197289,5500,1303324
CN,CHINA,301888,14815355,903795,39993972
FR,FRANCE,6200,930573,7623,1088577
DE,GERMANY,170502,10906157,329843,22581273
IN,INDIA,25000,2142065,38000,3319659
IL,ISRAEL,0,1718,0,1718
IT,ITALY,0,0,4025,973345
JP,JAPAN,478945,51092741,1031819,109179024
KP,KOREA DPR,0,0,14000,716785
KR,"KOREA,REPUBLIC OF",142120,8054363,711265,38382771
MY,MALAYSIA,1420,114411,3195,272015
QA,QATAR,76500,2762988,969000,45497490
SA,SAUDI ARABIA,661950,25773215,959650,38037488
SG,SINGAPORE,1655516,85954628,5677840,302962005
ES,SPAIN,11000,931355,30800,2571562
TW,"TAIWAN, PROVINCE OF CHINA",53025,2871368,192416,11260344
TH,THAILAND,50,10744,25587,694713
TR,TÜRKIYE,40,16378,40,16378
AE,UNITED ARAB EMIRATES,541756,20551580,1408706,54513054
GB,UNITED KINGDOM,4988,63135,5013,74234
US,UNITED STATES,1158438,105015306,3712424,324302075
VN,VIETNAM,20640,1697323,30740,2559769
SUM,SUM,5317883,334947466,16181226,1010755649
