"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
BE,BELGIUM,12000,1260883,24000,2555797
CN,CHINA,0,0,11600,1973019
DE,GERMANY,0,0,63000,5248296
JP,JAPAN,22000,1597736,180600,12145138
KR,"KOREA,REPUBLIC OF",12000,852950,47000,3107504
QA,QATAR,0,0,49500,2056624
SG,SINGAPORE,0,0,225000,9632745
AE,UNITED ARAB EMIRATES,130000,6069668,399750,18824501
US,UNITED STATES,54794,2926541,442340,31852640
SUM,SUM,230794,12707778,1442790,87396264
