"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,28000,1772992
AT,AUSTRIA,28000,1800840,57375,3644385
BE,BELGIUM,0,0,123000,10688079
CN,CHINA,66000,3529947,245375,14104820
FI,FINLAND,2000,215382,13000,1395477
HK,HONG KONG,85093,5375264,85093,5375264
IN,INDIA,48000,2685107,120000,6660315
IT,ITALY,0,0,4125,312746
JP,JAPAN,80000,6287984,1002000,74386290
KR,"KOREA,REPUBLIC OF",380000,22968794,2263000,138144759
MY,MALAYSIA,10000,714951,150000,10389339
SA,SAUDI ARABIA,0,0,49500,2046415
SE,SWEDEN,0,0,545400,40025188
TW,"TAIWAN, PROVINCE OF CHINA",11000,904907,44015,3613985
AE,UNITED ARAB EMIRATES,13000,622217,213250,9797831
GB,UNITED KINGDOM,155,35425,155,35425
US,UNITED STATES,62233,3441215,600103,39426530
VN,VIETNAM,34800,2206956,230200,14489777
SUM,SUM,820281,50788989,5773591,376309617
