"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
BE,BELGIUM,27250,2287348,27250,2287348
BR,BRAZIL,551375,45523525,551375,45523525
CN,CHINA,32700,2241344,32700,2241344
FI,FINLAND,74250,5015359,74250,5015359
FR,FRANCE,12000,2213969,12000,2213969
DE,GERMANY,435468,34287046,435468,34287046
IN,INDIA,500,83296,500,83296
ID,INDONESIA,1025,498640,1025,498640
IT,ITALY,14112,2879368,14112,2879368
JP,JAPAN,200851,13539145,200851,13539145
KR,"KOREA,REPUBLIC OF",188350,10792447,188350,10792447
KW,KUWAIT,1683000,59388434,1683000,59388434
LU,LUXEMBOURG,9050,2563217,9050,2563217
MY,MALAYSIA,6372908,254068209,6372908,254068209
NL,NETHERLANDS,247505,19183362,247505,19183362
NO,NORWAY,71480,7996760,71480,7996760
OM,OMAN,297000,9822824,297000,9822824
QA,QATAR,1122000,42918363,1122000,42918363
SA,SAUDI ARABIA,2803950,109697940,2803950,109697940
SG,SINGAPORE,1626542,73937079,1626542,73937079
SE,SWEDEN,206,50440,206,50440
TW,"TAIWAN, PROVINCE OF CHINA",525,81274,525,81274
AE,UNITED ARAB EMIRATES,222750,8081743,222750,8081743
US,UNITED STATES,338332,18530148,338332,18530148
VN,VIETNAM,153000,7639975,153000,7639975
SUM,SUM,16486129,733321255,16486129,733321255
