"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
CN,CHINA,6000,574872,6000,574872
DE,GERMANY,4125,515771,4125,515771
JP,JAPAN,5000,388684,5000,388684
NL,NETHERLANDS,49500,2392840,49500,2392840
SA,SAUDI ARABIA,99000,4122620,99000,4122620
SG,SINGAPORE,708000,46146091,708000,46146091
AE,UNITED ARAB EMIRATES,198000,8216603,198000,8216603
GB,UNITED KINGDOM,25,14852,25,14852
US,UNITED STATES,28,18100,28,18100
SUM,SUM,1069678,62390433,1069678,62390433
