"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
AT,AUSTRIA,200,314292,200,314292
BE,BELGIUM,2040,142793,2040,142793
BR,BRAZIL,191,78257,191,78257
CA,CANADA,3,1677,3,1677
CN,CHINA,502929,30562381,502929,30562381
CZ,CZECH REPUBLIC,0,68,0,68
DE,GERMANY,4140,1170884,4140,1170884
HK,HONG KONG,75,18223,75,18223
ID,INDONESIA,31,8636,31,8636
JP,JAPAN,128237,24417583,128237,24417583
KR,"KOREA,REPUBLIC OF",477207,22024416,477207,22024416
MY,MALAYSIA,134200,10026188,134200,10026188
NL,NETHERLANDS,122380,12174114,122380,12174114
SG,SINGAPORE,41381,7097465,41381,7097465
AE,UNITED ARAB EMIRATES,594000,20494539,594000,20494539
GB,UNITED KINGDOM,5,3382,5,3382
US,UNITED STATES,77679,17712420,77679,17712420
VN,VIETNAM,4000,391002,4000,391002
SUM,SUM,2088698,146638320,2088698,146638320
