"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,26500,2832887
CN,CHINA,0,0,110040,9226115
DE,GERMANY,0,0,300,22398
IN,INDIA,114480,9334119,296080,25053679
ID,INDONESIA,0,0,100,666
IT,ITALY,0,0,2750,495917
JP,JAPAN,17000,1521981,68400,8260785
KR,"KOREA,REPUBLIC OF",0,0,135300,11539915
MY,MALAYSIA,0,0,1375,436102
NZ,NEW ZEALAND,0,0,50,15511
SG,SINGAPORE,0,0,280520,14258971
SE,SWEDEN,0,0,27625,5645069
TH,THAILAND,0,0,50,11759
AE,UNITED ARAB EMIRATES,63700,3530779,315950,17529656
US,UNITED STATES,109508,8805563,459836,35182699
SUM,SUM,304688,23192442,1724876,130512129
