"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,80,6198
BE,BELGIUM,100,19481,618916,31186272
CN,CHINA,44020,3498827,716088,50832338
FR,FRANCE,0,0,1,1633
DE,GERMANY,0,0,200,8731
ID,INDONESIA,33100,2985052,195235,16590292
IL,ISRAEL,4800,455106,16866,1514181
JP,JAPAN,1018570,59421106,6390799,367296368
KR,"KOREA,REPUBLIC OF",44800,2444140,374075,19233574
KW,KUWAIT,0,0,1163250,48969300
MY,MALAYSIA,1467565,71384240,14167475,644448059
NL,NETHERLANDS,123750,6467975,272250,14004159
PH,PHILIPPINES,0,0,70125,3165769
QA,QATAR,204000,9596974,1632000,70587227
SA,SAUDI ARABIA,2227500,100990783,21136500,911829544
SG,SINGAPORE,500250,21784264,2347710,110515218
ES,SPAIN,0,0,315000,17601234
TW,"TAIWAN, PROVINCE OF CHINA",68000,3415501,197500,10450152
TH,THAILAND,0,0,25,4101
AE,UNITED ARAB EMIRATES,544500,23210955,4702300,198551361
US,UNITED STATES,99388,8190513,1039050,75803984
VN,VIETNAM,0,0,79,12626
SUM,SUM,6380343,313864917,55355524,2592612321
