"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AT,AUSTRIA,149,232729,433,672358
BE,BELGIUM,0,0,25140,2280402
BR,BRAZIL,955,336534,1337,469078
CA,CANADA,20,226863,59,698275
CN,CHINA,145740,7747147,526298,26613460
DK,DENMARK,0,0,2,12948
FR,FRANCE,10211,1031965,35641,2767812
DE,GERMANY,19045,5313829,20064,5720726
HK,HONG KONG,8000,1955892,8000,1955892
IN,INDIA,5053,467823,28085,2457852
ID,INDONESIA,20,11120,28,16315
IT,ITALY,1,528,3811,534313
JP,JAPAN,216557,34412913,566670,96265543
KR,"KOREA,REPUBLIC OF",327075,15599059,654825,32694888
MY,MALAYSIA,141507,12523675,282947,24501055
NL,NETHERLANDS,59975,5377007,139975,12476606
NZ,NEW ZEALAND,0,0,52,33301
NO,NORWAY,87,36240,87,36240
PH,PHILIPPINES,5,2889,5,2889
RU,RUSSIAN FEDERATION,845,114220,845,114220
SA,SAUDI ARABIA,148500,6074695,717750,28660147
SG,SINGAPORE,61460,6253043,145034,14900635
ES,SPAIN,2200,191104,16125,1353008
CH,SWITZERLAND,0,0,1350,846799
TW,"TAIWAN, PROVINCE OF CHINA",75000,3042499,408875,18004217
GB,UNITED KINGDOM,0,0,30980,3924681
US,UNITED STATES,145337,20752426,501148,70367885
VN,VIETNAM,10000,732512,26020,1951756
SUM,SUM,1377742,122436712,4141586,350333301
