"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
CN,CHINA,12000,1469668,121475,12586822
IN,INDIA,0,0,40,7950
IT,ITALY,0,0,10345,2104863
JP,JAPAN,0,0,10,219173
KR,"KOREA,REPUBLIC OF",108200,12584155,758300,79070729
MY,MALAYSIA,0,0,6875,1788909
SG,SINGAPORE,0,0,2890,493836
US,UNITED STATES,0,0,14996,2500479
VN,VIETNAM,0,0,1560,295969
SUM,SUM,120200,14053823,916491,99068730
