"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
CN,CHINA,0,0,22,12049
FR,FRANCE,0,0,1000,196740
IT,ITALY,3650,262167,8650,621337
JP,JAPAN,19250,4272069,82918,14358088
KR,"KOREA,REPUBLIC OF",47000,2727195,47000,2727195
MY,MALAYSIA,29020,915463,33485,1426531
QA,QATAR,34000,1614636,101500,4620092
CH,SWITZERLAND,0,4375,0,4375
GB,UNITED KINGDOM,0,0,25,12225
SUM,SUM,132920,9795905,274600,23978632
