"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
AU,AUSTRALIA,40,33733,80,47354
AT,AUSTRIA,120,50960,4481,1778773
BE,BELGIUM,89500,6775132,277905,24741161
CA,CANADA,6500,1569124,19275,4643610
CN,CHINA,357053,17372466,2948169,137548767
DK,DENMARK,0,0,30,15781
FO,FAROE ISLANDS,0,0,15,3334
FR,FRANCE,11000,970630,52798,5005668
DE,GERMANY,24700,2458726,557466,39392056
HK,HONG KONG,0,0,580,27349
IN,INDIA,5000,466636,75250,6691253
ID,INDONESIA,0,0,22,5374
IL,ISRAEL,0,0,0,1718
IT,ITALY,0,0,11025,3273577
JP,JAPAN,400695,40993724,2915395,300591509
KP,KOREA DPR,0,0,14000,716785
KR,"KOREA,REPUBLIC OF",177800,10023884,1576811,86145114
MY,MALAYSIA,21325,1375115,41145,2715643
NZ,NEW ZEALAND,0,0,2500,602720
QA,QATAR,510000,24406957,2934500,134786926
SA,SAUDI ARABIA,170200,8518878,1884050,81486463
SG,SINGAPORE,2116951,119772099,15299227,833039926
ES,SPAIN,0,772,63900,5130076
CH,SWITZERLAND,0,0,1267,176137
TW,"TAIWAN, PROVINCE OF CHINA",273474,14870503,747023,43929561
TH,THAILAND,50,10875,25862,789464
TR,TÜRKIYE,0,0,65,30414
AE,UNITED ARAB EMIRATES,714175,32279512,3601356,151552248
GB,UNITED KINGDOM,2800,621895,13363,1835503
US,UNITED STATES,706679,75456701,11480539,929272549
VN,VIETNAM,1908,186186,59843,3651789
SUM,SUM,5589970,358214508,44607942,2799628602
