"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1458760
BR,BRAZIL,11000,1222265,16500,1779102
CN,CHINA,0,0,20275,1007318
IN,INDIA,10,1542,10,1542
JP,JAPAN,26000,2213621,47001,3911562
KR,"KOREA,REPUBLIC OF",0,0,325,99199
QA,QATAR,0,0,178500,8959982
SA,SAUDI ARABIA,198000,8981146,1206450,51368559
SG,SINGAPORE,0,0,148500,6698478
TW,"TAIWAN, PROVINCE OF CHINA",21,12018,21,12018
US,UNITED STATES,1500,286982,1500,286982
VN,VIETNAM,0,0,50,10980
SUM,SUM,236531,12717574,1643882,75594482
