"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
CN,CHINA,50000,2261805,337492,13862126
HK,HONG KONG,0,0,20956,1034032
IN,INDIA,0,0,106500,5436005
ID,INDONESIA,149000,6971555,706130,46321560
IL,ISRAEL,0,0,360,37150
JP,JAPAN,0,0,105185,6099086
KR,"KOREA,REPUBLIC OF",0,0,478200,24294191
KW,KUWAIT,0,0,2252250,91149560
MY,MALAYSIA,176000,7618404,8199837,359282983
QA,QATAR,0,0,2907000,115242654
SA,SAUDI ARABIA,2135750,91720364,22353540,932335414
SG,SINGAPORE,147875,6773001,1531025,71259219
TW,"TAIWAN, PROVINCE OF CHINA",0,0,74000,3184365
TH,THAILAND,141,29646,202,45632
TR,TÜRKIYE,0,0,12,4711
AE,UNITED ARAB EMIRATES,1014750,42505207,9220000,390650916
US,UNITED STATES,42975,2212353,3151349,149205682
SUM,SUM,3716491,160092335,51444038,2209445286
