"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1,8200
BE,BELGIUM,128000,10623828,166600,14461708
BR,BRAZIL,0,0,1075,159347
CN,CHINA,35375,2135095,69855,3895324
IT,ITALY,0,0,800,192320
JP,JAPAN,164693,11524917,296943,20659064
KR,"KOREA,REPUBLIC OF",349808,15699616,899666,43850121
MY,MALAYSIA,120860,6617231,178777,9471332
ES,SPAIN,0,0,41,5720
TW,"TAIWAN, PROVINCE OF CHINA",127337,7650478,208337,12895314
US,UNITED STATES,67250,7898251,79207,9814899
VN,VIETNAM,24130,281758,82350,1210368
SUM,SUM,1017453,62431174,1983652,116623717
