"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AU,AUSTRALIA,500,26192,616,55903
AT,AUSTRIA,40,48809,40,48809
BE,BELGIUM,33300,1731676,431310,18867950
BR,BRAZIL,334500,28728352,1165750,89790023
CA,CANADA,11000,563174,16080,854978
CN,CHINA,66660,3293545,208896,13218833
FR,FRANCE,0,0,77000,3134746
DE,GERMANY,203840,18884310,611435,57328890
ID,INDONESIA,50025,2062643,53100,2245913
IT,ITALY,133350,6916545,623920,27613146
JP,JAPAN,1040807,50924584,4527949,210375710
KR,"KOREA,REPUBLIC OF",500001,20602684,3489851,124779133
KW,KUWAIT,198000,6893300,990000,31611350
MY,MALAYSIA,140025,5423715,1395150,45677758
NL,NETHERLANDS,475,79536,975,216248
PH,PHILIPPINES,0,0,2,1781
PT,PORTUGAL,0,0,225,11427
QA,QATAR,1036660,37331916,5270840,176279637
SA,SAUDI ARABIA,1141540,40713886,5109044,168683510
SG,SINGAPORE,2098200,84906481,7596530,282370426
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",199000,9056394,558800,24541188
AE,UNITED ARAB EMIRATES,421050,17412222,4080675,141583013
US,UNITED STATES,1773984,74796837,7364287,282670131
VN,VIETNAM,0,0,50,7453
SUM,SUM,9382957,410396801,43583525,1702467174
