"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
AU,AUSTRALIA,104000,6396897,205000,12498558
AT,AUSTRIA,0,0,300,498524
BE,BELGIUM,200,158024,200,158024
CA,CANADA,13440,2195581,13440,2195581
CN,CHINA,203900,13137009,417780,26597088
EC,ECUADOR,0,0,2,2012
FR,FRANCE,195,69391,80855,8588603
DE,GERMANY,8300,2728613,43586,9115513
IN,INDIA,0,0,16650,1355348
ID,INDONESIA,0,0,22500,2301113
IL,ISRAEL,2400,419821,2400,419821
IT,ITALY,340,39982,890,87212
JP,JAPAN,103874,23702280,265602,60018647
KR,"KOREA,REPUBLIC OF",216405,16858568,378645,29542183
MY,MALAYSIA,111200,9418113,270200,24019308
NL,NETHERLANDS,135566,15645426,357646,41623999
SA,SAUDI ARABIA,247500,12786229,668250,33911245
SG,SINGAPORE,46400,5400930,119000,14041591
ES,SPAIN,87150,7006031,87350,7049392
CH,SWITZERLAND,0,8420,0,8420
TW,"TAIWAN, PROVINCE OF CHINA",53954,5220380,91358,8113467
TR,TÜRKIYE,0,0,250,108745
AE,UNITED ARAB EMIRATES,0,0,2000,150654
US,UNITED STATES,42615,6973633,91137,14709916
SUM,SUM,1377439,128165328,3135041,297114964
