"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
BE,BELGIUM,12000,1259106,144600,14983083
CN,CHINA,2200,135294,98300,7886823
FR,FRANCE,2200,294148,2200,294148
DE,GERMANY,0,0,5125,1039749
IT,ITALY,2750,627621,9200,2031222
JP,JAPAN,1500,288895,12681,1816867
KR,"KOREA,REPUBLIC OF",15000,1332261,61800,5652243
LU,LUXEMBOURG,0,0,2,1168
QA,QATAR,0,0,255000,11466849
SG,SINGAPORE,178500,7330302,1039100,44256684
SE,SWEDEN,14000,1687875,23800,3023309
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,37449
AE,UNITED ARAB EMIRATES,124800,5975922,440000,21609236
US,UNITED STATES,57912,6224451,511495,52297605
VN,VIETNAM,0,0,1000,127502
SUM,SUM,410862,25155875,2604403,166523937
