"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,14848,919700
BE,BELGIUM,99000,4067385,525375,21478389
BR,BRAZIL,100,7683,425,54004
CA,CANADA,50000,1592430,100050,3233947
CN,CHINA,44050,2946038,424025,26557246
FR,FRANCE,0,0,22000,1735056
ID,INDONESIA,43750,3603866,271425,17241997
IL,ISRAEL,0,0,10111,911842
JP,JAPAN,53977,4908738,2167127,108329338
KR,"KOREA,REPUBLIC OF",42000,1694346,185050,6952748
KW,KUWAIT,0,0,618750,19857926
MY,MALAYSIA,16500,599072,283500,10141417
NL,NETHERLANDS,20000,829404,60000,2540129
QA,QATAR,306000,9596374,1198500,38626440
SA,SAUDI ARABIA,4095900,138597938,12606300,428539129
SG,SINGAPORE,620750,22770308,2714775,100597627
ES,SPAIN,74250,2421672,148500,5300780
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,580250,20837240,2867500,102423023
US,UNITED STATES,380111,15682735,1606881,63014510
VN,VIETNAM,0,0,50,1338
SUM,SUM,6426638,230155229,25825202,958459018
