"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1006970,32370715
AT,AUSTRIA,515,148806,2313,758983
BE,BELGIUM,0,0,1375,112675
CN,CHINA,401679,29037341,3043328,178426484
CO,COLOMBIA,17677,217697,17677,217697
DK,DENMARK,0,0,30,9523
FI,FINLAND,70125,3383742,116875,5713275
FR,FRANCE,0,0,3470,384402
DE,GERMANY,5,1321,23160,2509122
HK,HONG KONG,0,0,1008,246528
IN,INDIA,218958,5726841,410093,9298564
ID,INDONESIA,16750,1960725,275500,18193865
IL,ISRAEL,0,0,20,712
IT,ITALY,0,0,5053,360618
JP,JAPAN,527637,35786522,3497483,250962066
KR,"KOREA,REPUBLIC OF",1073525,43795764,7233548,299826938
MY,MALAYSIA,40936,5473312,987410,55890321
MX,MEXICO,0,0,25,96070
NL,NETHERLANDS,99000,8195866,258782,21646272
NZ,NEW ZEALAND,0,0,912,478008
OM,OMAN,74250,1866306,817375,23855824
PL,POLAND,0,0,44317,741367
SA,SAUDI ARABIA,1051025,27796449,7884775,236865728
SG,SINGAPORE,256677,12941803,2806511,150340340
CH,SWITZERLAND,0,0,100,28173
TW,"TAIWAN, PROVINCE OF CHINA",154191,7074255,1251867,52906734
TH,THAILAND,26500,530604,104500,2574912
AE,UNITED ARAB EMIRATES,397000,9962322,5420275,158818713
GB,UNITED KINGDOM,50,20861,7050,1246059
US,UNITED STATES,20080,384283,38132,2859098
VN,VIETNAM,25076,663786,103632,6179202
SUM,SUM,4471656,194968606,35363566,1513918988
