"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'CIF (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,48000,5006612
CN,CHINA,146000,8849141,181000,11565101
HK,HONG KONG,83820,4800961,132220,7347329
IT,ITALY,18900,3492095,18900,3492095
JP,JAPAN,0,0,200,41514
KR,"KOREA,REPUBLIC OF",265732,19058082,769335,50996735
MY,MALAYSIA,10000,646144,32000,2193695
SE,SWEDEN,0,0,75750,6809939
AE,UNITED ARAB EMIRATES,139100,6274082,254800,11741173
US,UNITED STATES,85956,10592924,122462,14401171
VN,VIETNAM,56000,3215569,88000,5076974
SUM,SUM,805508,56928998,1722667,118672338
