"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'CIF (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16010,716698
BE,BELGIUM,67400,4926768,2476200,163414424
BR,BRAZIL,225500,22428859,1857150,175164501
CA,CANADA,11000,761068,39109,3002350
CN,CHINA,234139,15349149,1556933,82505311
CZ,CZECH REPUBLIC,5,2544,6,3350
FR,FRANCE,3000,325348,571060,39849808
DE,GERMANY,104870,13668608,205036,55367264
GH,GHANA,0,0,100,91758
IN,INDIA,4000,266126,9050,444611
ID,INDONESIA,60000,3528588,218550,11212417
IT,ITALY,210700,18607291,2462670,171223123
JP,JAPAN,885081,56957377,5976199,372880377
KR,"KOREA,REPUBLIC OF",1786500,81556877,8000235,369405239
KW,KUWAIT,371250,17930096,1287000,57067777
MY,MALAYSIA,458250,22911014,3223775,144127519
NL,NETHERLANDS,0,0,2000,369474
NO,NORWAY,0,0,120280,9363063
OM,OMAN,198000,9121572,1534500,66965641
PH,PHILIPPINES,0,0,100,6094
QA,QATAR,813320,41481473,7515280,343743690
RU,RUSSIAN FEDERATION,0,0,445500,17575609
SA,SAUDI ARABIA,1051669,50665642,5800049,262763572
SG,SINGAPORE,1148000,59940215,7678225,366340256
ZA,SOUTH AFRICA,0,0,250,43352
TW,"TAIWAN, PROVINCE OF CHINA",117500,6944654,1218926,66938038
TH,THAILAND,0,0,59003,2906279
AE,UNITED ARAB EMIRATES,467500,23326734,1951125,95792866
GB,UNITED KINGDOM,0,0,31,22473
US,UNITED STATES,1549386,95948547,7627805,449096813
VN,VIETNAM,24,3409,224,12221
SUM,SUM,9767094,546651959,61852381,3328415968
