"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
AR,ARGENTINA,0,0,350,163914
AU,AUSTRALIA,0,0,16250,572773
BE,BELGIUM,0,0,354260,20694325
CN,CHINA,321382,22351206,1868893,130193253
CZ,CZECH REPUBLIC,0,0,10,3878
FI,FINLAND,0,0,26050,1640498
DE,GERMANY,6000,1765745,12548,3013073
HK,HONG KONG,0,0,400510,4247417
IN,INDIA,1000,103865,6660,607390
ID,INDONESIA,57025,3539511,62675,4118995
IL,ISRAEL,0,0,90304,5942696
IT,ITALY,80,25585,80,25585
JP,JAPAN,510700,29707008,4596233,237136131
KR,"KOREA,REPUBLIC OF",943004,37986044,8055981,346597851
MY,MALAYSIA,50860,5500334,558191,63449269
MX,MEXICO,0,0,19720,2157976
NL,NETHERLANDS,0,0,1,9152
NO,NORWAY,3,966,3,966
OM,OMAN,0,0,99000,3478727
SA,SAUDI ARABIA,792000,26394855,9820550,345931690
SG,SINGAPORE,492080,19528328,4618436,194867505
ZA,SOUTH AFRICA,0,0,247500,8566261
ES,SPAIN,9625,771882,9625,771882
CH,SWITZERLAND,0,0,70560,4007329
TW,"TAIWAN, PROVINCE OF CHINA",41227,2047138,680127,29939609
TH,THAILAND,88,7560,61533,2242757
UA,UKRAINE,0,0,500,17876
AE,UNITED ARAB EMIRATES,27500,1016303,380300,14612813
GB,UNITED KINGDOM,0,0,3005,387033
US,UNITED STATES,56379,4726054,343303,24849383
VN,VIETNAM,0,0,712000,30351949
SUM,SUM,3308953,155472384,33115158,1480599956
