"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'CIF (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'CIF (Baht)')"
AT,AUSTRIA,568,849739,3202,5095379
BD,BANGLADESH,0,0,34,7801
BE,BELGIUM,15163,1706346,62422,7261089
BZ,BELIZE,0,0,764,266807
BR,BRAZIL,191,85349,2865,1101006
CA,CANADA,6,75866,119,306170
CN,CHINA,274242,21645151,2527766,185962252
FR,FRANCE,0,0,259350,20793297
DE,GERMANY,800,554803,2105460,174393589
HK,HONG KONG,250,63375,255522,25058687
IN,INDIA,0,0,1327,150113
ID,INDONESIA,0,0,45069,5295713
IT,ITALY,0,0,18800,4011022
JP,JAPAN,107563,19839834,2197094,391415762
KR,"KOREA,REPUBLIC OF",130104,10437674,3744487,280725651
MY,MALAYSIA,116800,9410522,1459958,126740254
NL,NETHERLANDS,21800,2878361,1127456,111562817
NO,NORWAY,0,0,480,191411
PK,PAKISTAN,0,0,10,2968
PL,POLAND,0,0,23,42713
SA,SAUDI ARABIA,0,0,2049775,83786040
SG,SINGAPORE,10300,1703964,526392,89429346
ES,SPAIN,50,23948,50,24939
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3988,3295446
TH,THAILAND,0,0,514,84960
AE,UNITED ARAB EMIRATES,544500,22365436,3099690,171300656
GB,UNITED KINGDOM,380,132389,62598,9599252
US,UNITED STATES,4157,889248,1034983,192393026
VN,VIETNAM,3000,317979,26829,2711938
SUM,SUM,1229874,92979984,20617027,1893010104
