"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
CA,CANADA,0,0,200,25277
CN,CHINA,3000,252972,38600,1830928
HK,HONG KONG,0,0,25500,992571
JP,JAPAN,5050,388244,19824,1697679
KR,"KOREA,REPUBLIC OF",0,0,39600,3161977
NL,NETHERLANDS,24750,1407677,99000,5352079
QA,QATAR,0,0,25500,821737
SA,SAUDI ARABIA,198000,6831071,552250,18774948
SG,SINGAPORE,1527025,78136375,6919420,319844063
ES,SPAIN,500,45274,80800,4635593
AE,UNITED ARAB EMIRATES,866250,36846746,2882750,103952257
US,UNITED STATES,895925,42372866,4748300,182883688
VN,VIETNAM,0,0,75,2270
SUM,SUM,3520500,166281225,15431819,643975067
