"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
AU,AUSTRALIA,31250,2136081,120475,7903289
BE,BELGIUM,126700,9863971,457700,34181636
BR,BRAZIL,0,0,500,75073
CN,CHINA,471690,31503307,2431447,173983488
FI,FINLAND,23375,1793113,93500,6916443
FR,FRANCE,51700,3712864,191450,14977499
DE,GERMANY,500,143750,36351,11033398
HK,HONG KONG,200,20645,200,20645
IN,INDIA,10000,857979,54000,2982444
ID,INDONESIA,5575,533691,51176,6071926
IT,ITALY,700,284167,18500,3275413
JP,JAPAN,664900,63366494,3336565,277499780
KP,KOREA DPR,0,0,48000,3104611
KR,"KOREA,REPUBLIC OF",1943074,122123827,8107379,510377497
MY,MALAYSIA,71877,11164695,321606,47777275
MX,MEXICO,0,0,60,83519
NL,NETHERLANDS,49500,4521520,482750,42799878
NZ,NEW ZEALAND,0,0,77,93514
PT,PORTUGAL,0,0,47,31619
SA,SAUDI ARABIA,2650830,133838218,14613000,740685049
SG,SINGAPORE,853018,54495139,4746990,293734202
SK,SLOVAKIA,2000,493831,2000,493831
ZA,SOUTH AFRICA,0,0,297000,15017904
ES,SPAIN,11000,1362181,22021,2727613
TW,"TAIWAN, PROVINCE OF CHINA",190425,10970126,789600,38181460
TH,THAILAND,7550,658029,8050,692030
AE,UNITED ARAB EMIRATES,103125,5261790,361625,18446768
GB,UNITED KINGDOM,25,81649,152,204254
US,UNITED STATES,418386,21958241,568929,35735865
VN,VIETNAM,6872,888084,15140,2219481
SUM,SUM,7694272,482033392,37176290,2291327404
