"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
BE,BELGIUM,15250,1507304,178590,15786327
CA,CANADA,0,0,35540,6238575
CN,CHINA,38000,6939942,496300,78594009
FR,FRANCE,38500,2540791,539850,44244695
DE,GERMANY,3360,498483,35638,6635023
HK,HONG KONG,0,0,6500,629283
IN,INDIA,0,0,9,1906
ID,INDONESIA,12501,1740908,98522,10955233
IT,ITALY,0,0,453775,35104629
JP,JAPAN,1216696,93119600,12402617,939329503
KR,"KOREA,REPUBLIC OF",417375,26495570,3711662,221850686
MY,MALAYSIA,54000,2751897,559860,30425613
NL,NETHERLANDS,170475,13403681,967400,74144262
NZ,NEW ZEALAND,0,0,1128,302599
NO,NORWAY,1,1150,1,1150
SA,SAUDI ARABIA,74250,3967345,1892725,99200314
SG,SINGAPORE,4132675,236465093,45228504,2549307066
ZA,SOUTH AFRICA,0,0,99000,5005968
ES,SPAIN,0,0,16500,1994666
TW,"TAIWAN, PROVINCE OF CHINA",178015,10463333,1503856,90223609
TH,THAILAND,1525,86702,12530,796174
UA,UKRAINE,0,0,0,4000
AE,UNITED ARAB EMIRATES,165650,8560360,1375850,71055076
GB,UNITED KINGDOM,9000,1283747,26000,3752660
US,UNITED STATES,25351,4042686,435175,35199257
VN,VIETNAM,0,0,58300,21427364
SUM,SUM,6552624,413868592,70135832,4342209647
