"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
AU,AUSTRALIA,476,189140,476,189140
BE,BELGIUM,301518,14619936,301518,14619936
CN,CHINA,888371,54930652,888371,54930652
FI,FINLAND,7116,465175,7116,465175
FR,FRANCE,7000,788842,7000,788842
DE,GERMANY,9000,2791779,9000,2791779
IN,INDIA,572500,21363576,572500,21363576
ID,INDONESIA,24106,1820361,24106,1820361
IT,ITALY,1001,101436,1001,101436
JP,JAPAN,1694540,99963835,1694540,99963835
KR,"KOREA,REPUBLIC OF",1271901,62953213,1271901,62953213
KW,KUWAIT,50,17832,50,17832
MY,MALAYSIA,74126,12356296,74126,12356296
NL,NETHERLANDS,99000,9338420,99000,9338420
QA,QATAR,16500,695900,16500,695900
SA,SAUDI ARABIA,5238240,176098535,5238240,176098535
SG,SINGAPORE,1555332,76699317,1555332,76699317
ZA,SOUTH AFRICA,99000,3699451,99000,3699451
SE,SWEDEN,25000,956625,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",73825,3310527,73825,3310527
AE,UNITED ARAB EMIRATES,247900,8436272,247900,8436272
US,UNITED STATES,103703,9266163,103703,9266163
VN,VIETNAM,82764,2875863,82764,2875863
SUM,SUM,12392969,563739146,12392969,563739146
