"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AT,AUSTRIA,120,99654,200,138013
BE,BELGIUM,529400,25126419,556150,28439168
BR,BRAZIL,62000,5493786,136250,10144924
CA,CANADA,11000,562887,38460,6384799
CN,CHINA,10025,877042,575961,21747699
DE,GERMANY,234963,19073759,634065,47642602
HK,HONG KONG,0,0,2,1877
ID,INDONESIA,0,0,69340,3928865
IT,ITALY,50750,2457443,75500,3699239
JP,JAPAN,1440398,71875807,4135534,201014798
KR,"KOREA,REPUBLIC OF",291025,13446040,1567050,72210212
KW,KUWAIT,940500,38542157,2400750,95480183
MY,MALAYSIA,262010,11020231,2812460,122563671
NL,NETHERLANDS,0,46131,0,46131
NO,NORWAY,20800,1216088,604980,34191605
QA,QATAR,1791260,75463820,4008780,168611872
SA,SAUDI ARABIA,1188025,51648293,4554025,190521359
SG,SINGAPORE,1057270,46844498,3837220,167228607
SE,SWEDEN,0,0,2750,274810
TW,"TAIWAN, PROVINCE OF CHINA",525000,25266603,1138000,53961973
TH,THAILAND,0,0,54004,2190786
AE,UNITED ARAB EMIRATES,1435500,60088079,4000775,168111219
US,UNITED STATES,915410,44258240,2252299,107529488
SUM,SUM,10765456,493406977,33454555,1506063900
