"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AU,AUSTRALIA,1000,207633,1100,236038
BE,BELGIUM,56425,3340687,392851,21996700
BR,BRAZIL,1000,136817,18000,1016922
CA,CANADA,17000,1469689,29000,2108166
CN,CHINA,12025,591427,198627,10546149
FR,FRANCE,0,0,11000,858174
DE,GERMANY,21002,1771274,109502,9527417
HK,HONG KONG,0,49782,244,74439
ID,INDONESIA,14559,550577,43438,3401273
IT,ITALY,0,0,25435,3268080
JP,JAPAN,59736,6240046,498042,41863731
KR,"KOREA,REPUBLIC OF",133863,6942745,889013,44303928
MY,MALAYSIA,214901,8296203,1206005,49256846
MX,MEXICO,0,0,17800,2168116
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,25800,923394,69350,2756403
SE,SWEDEN,0,0,0,5481
CH,SWITZERLAND,0,0,20000,2228919
TW,"TAIWAN, PROVINCE OF CHINA",53500,2760938,621275,35067834
GB,UNITED KINGDOM,0,0,150,62821
US,UNITED STATES,15714,1845070,97644,9560606
VN,VIETNAM,57910,912570,366320,6635159
SUM,SUM,684435,36038852,4614797,246944689
