"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'CIF (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1245,173349
AT,AUSTRIA,0,0,24725,1835631
BE,BELGIUM,3000,363512,191894,12145534
BR,BRAZIL,397650,29574690,4014350,258228096
CA,CANADA,22870,263083,252630,5897098
CN,CHINA,163260,9964621,1002404,55914148
CZ,CZECH REPUBLIC,0,0,2,1536
DK,DENMARK,0,0,100,43805
FI,FINLAND,49500,3557830,519625,33994925
FR,FRANCE,22000,2211050,88321,7648238
DE,GERMANY,257537,20872537,3589822,237453738
HK,HONG KONG,0,0,70,474784
IN,INDIA,0,0,38861,3340713
ID,INDONESIA,0,0,73798,6460135
IE,IRELAND,0,0,1,4301
IL,ISRAEL,0,0,51707,5051774
IT,ITALY,300,118054,57843,14206979
JP,JAPAN,216965,16699625,2172581,174769555
KR,"KOREA,REPUBLIC OF",198000,10734903,2800322,134648427
KW,KUWAIT,668250,27672040,7152750,261120000
LU,LUXEMBOURG,6250,998882,45025,15778267
MY,MALAYSIA,2493574,125059589,48517765,2313654126
NL,NETHERLANDS,357320,25376543,3520087,222263942
NO,NORWAY,111850,6792989,917175,48534326
OM,OMAN,0,0,99000,3756406
QA,QATAR,663000,31389398,12822500,559041909
RU,RUSSIAN FEDERATION,0,0,49500,1654805
SA,SAUDI ARABIA,2298910,108958502,33250480,1426368707
SG,SINGAPORE,1855000,99512394,20750072,1036607530
SI,SLOVENIA,0,0,1,973
ES,SPAIN,0,0,273985,18409889
CH,SWITZERLAND,0,0,1251,542659
TW,"TAIWAN, PROVINCE OF CHINA",600,139107,70938,7292614
TH,THAILAND,45,3171,1445,17211
TT,TRINIDAD AND TOBAGO,0,0,23800,114775
AE,UNITED ARAB EMIRATES,148500,6680234,4306200,178633200
GB,UNITED KINGDOM,0,2861,46507,4406535
US,UNITED STATES,283903,27229045,2425805,146284844
VN,VIETNAM,70200,3758557,755905,41410598
SUM,SUM,10288484,557933217,149910492,7238186082
