"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,26550,2182711
AT,AUSTRIA,0,0,240,150731
BE,BELGIUM,85250,4062269,396250,19055896
BR,BRAZIL,1362,225219,7511,1267574
CA,CANADA,54000,2684985,554000,24363513
CN,CHINA,21500,4366968,329553,51204652
FR,FRANCE,49500,2362144,459100,22803741
DE,GERMANY,0,0,63391,12926119
HK,HONG KONG,0,0,8125,1034740
IN,INDIA,1018,70216,8732,642986
ID,INDONESIA,3000,263870,126750,14325044
IT,ITALY,100,34479,30502,2277232
JP,JAPAN,1254349,79098020,9682939,609643879
KP,KOREA DPR,22000,1000644,22000,1000644
KR,"KOREA,REPUBLIC OF",310300,15173125,2592475,120012076
MY,MALAYSIA,10500,460190,289950,11998481
NL,NETHERLANDS,79750,4428078,712237,40926935
SA,SAUDI ARABIA,49550,2124907,1739800,65400694
SG,SINGAPORE,4102425,189622486,38422754,1702509559
ZA,SOUTH AFRICA,198000,7053271,693000,23987515
ES,SPAIN,0,0,27660,2844659
TW,"TAIWAN, PROVINCE OF CHINA",24521,1170474,832606,36812887
TH,THAILAND,51000,2144753,66000,2478053
TR,TÜRKIYE,0,0,2518,167391
AE,UNITED ARAB EMIRATES,346500,13998329,3017925,112951320
GB,UNITED KINGDOM,0,0,1000,400158
US,UNITED STATES,51960,4820098,298117,29519856
SUM,SUM,6716585,335164525,60411685,2912889046
