"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
AT,AUSTRIA,165,206378,165,206378
BE,BELGIUM,333860,18445917,1223290,66062531
BR,BRAZIL,77350,6470878,171650,15506885
CA,CANADA,0,0,12000,1009873
CN,CHINA,1009,109714,75609,5124270
FR,FRANCE,3,25630,3,25630
DE,GERMANY,830,1042099,14760,9394735
HK,HONG KONG,11,2386,11,2386
ID,INDONESIA,0,0,17000,717784
IL,ISRAEL,0,0,80,33460
IT,ITALY,6000,823162,66750,4692746
JP,JAPAN,1816919,86097538,6879336,313058701
KR,"KOREA,REPUBLIC OF",140680,6549888,1531957,69259632
KW,KUWAIT,445500,18961321,2326500,96155103
LU,LUXEMBOURG,7,5328,7,5328
MY,MALAYSIA,135250,5661263,1076250,46788983
PH,PHILIPPINES,0,0,192000,8282200
QA,QATAR,1300500,56122364,5814000,245254051
SA,SAUDI ARABIA,2323500,97185446,9232750,383369318
SG,SINGAPORE,2392780,105375898,10562165,460383678
ES,SPAIN,0,0,241170,13025243
CH,SWITZERLAND,50220,2774678,50220,2774678
TW,"TAIWAN, PROVINCE OF CHINA",340000,16569608,2045200,98802280
TH,THAILAND,0,0,7734,292012
AE,UNITED ARAB EMIRATES,544500,22770035,5420875,226844892
GB,UNITED KINGDOM,8,3724,128,206213
US,UNITED STATES,187785,10729364,574242,33949305
VN,VIETNAM,0,0,6600,247051
SUM,SUM,10096877,455932619,47542452,2101475346
